panel_source,panel_group,gene,rank,logfoldchanges,pvals_adj,score
germ_cluster,13,AT2G33450,49,2.8569624423980713,7.064339253981746e-142,25.57895278930664
germ_cluster,13,AT5G38410,50,3.610041379928589,1.8508567144588445e-141,25.54055404663086
germ_cluster,14,AT5G26260,1,7.815896034240723,3.911654903498549e-279,35.96550369262695
germ_cluster,14,AT1G54000,2,7.098308086395264,6.199961831647716e-277,35.805145263671875
germ_cluster,14,AT3G16420,3,5.909718036651611,1.2723092848558577e-262,34.86173629760742
germ_cluster,14,AT3G09260,4,5.6166887283325195,7.2282660331998e-251,34.068756103515625
germ_cluster,14,AT1G54410,5,5.096191883087158,2.1377799977936483e-250,34.03038787841797
germ_cluster,14,AT2G46140,6,5.172412872314453,3.850982784609877e-219,31.841766357421875
germ_cluster,14,AT1G28290,7,6.131393909454346,3.60247148412271e-217,31.694196701049805
germ_cluster,14,AT5G26280,8,5.161378860473633,3.367095301732571e-204,30.73409080505371
germ_cluster,14,AT2G22170,9,4.696519374847412,5.3730951456230475e-201,30.489580154418945
germ_cluster,14,AT5G02260,10,4.884159088134766,5.364784349932642e-190,29.644662857055664
germ_cluster,14,AT3G02230,11,3.8896119594573975,1.1128642414322211e-188,29.539093017578125
germ_cluster,14,AT1G66280,12,7.965250492095947,1.704248765956995e-187,29.4437255859375
germ_cluster,14,AT4G12880,13,5.2447943687438965,1.0607937317734058e-186,29.378910064697266
germ_cluster,14,AT5G15230,14,4.648225784301758,3.1175649098533372e-186,29.339712142944336
germ_cluster,14,AT4G24920,15,2.770683765411377,6.448193443875648e-179,28.758146286010742
germ_cluster,14,AT5G15650,16,3.308699607849121,1.1315258372459597e-178,28.736366271972656
germ_cluster,14,AT4G31320,17,6.293960094451904,3.9568301183546724e-176,28.529945373535156
germ_cluster,14,AT3G16460,18,5.179236888885498,2.5488423579592277e-174,28.381738662719727
germ_cluster,14,AT3G15950,19,4.599127292633057,5.180726408642715e-168,27.86399269104004
germ_cluster,14,AT3G52930,20,2.3753159046173096,1.4617832236081568e-163,27.492380142211914
germ_cluster,14,AT2G25980,21,5.176065921783447,1.826787964871429e-161,27.314651489257812
germ_cluster,14,AT3G43720,22,4.366304874420166,1.3288506137897398e-160,27.240299224853516
germ_cluster,14,AT1G77330,23,6.125577449798584,4.923877480815426e-155,26.76443099975586
germ_cluster,14,AT5G14030,24,2.4861342906951904,8.665174422306697e-154,26.655620574951172
germ_cluster,14,AT1G56580,25,4.033992767333984,3.595321817086219e-153,26.60072898864746
germ_cluster,14,AT2G21160,26,2.5904929637908936,2.0786043351511215e-152,26.53188133239746
germ_cluster,14,AT2G45070,27,2.158283233642578,8.276019502096369e-152,26.478456497192383
germ_cluster,14,AT5G13870,28,4.197282791137695,4.0134344934206097e-150,26.330339431762695
germ_cluster,14,AT5G23820,29,4.3121771812438965,3.077351489186062e-149,26.251684188842773
germ_cluster,14,AT5G65020,30,4.305327892303467,5.329582070114426e-147,26.053630828857422
germ_cluster,14,AT1G09560,31,3.6600394248962402,8.70974045327359e-146,25.94511604309082
germ_cluster,14,AT5G45280,32,3.8333451747894287,1.7279155275106568e-143,25.739519119262695
germ_cluster,14,AT3G29034,33,5.236954212188721,1.1491400101811547e-141,25.575016021728516
germ_cluster,14,AT1G21750,34,2.990079164505005,3.866843624024306e-141,25.526269912719727
germ_cluster,14,AT2G41800,35,4.925230026245117,3.866843624024306e-141,25.525362014770508
germ_cluster,14,AT5G48580,36,2.846017599105835,6.005141773721496e-139,25.32615852355957
germ_cluster,14,AT5G10130,37,7.089358329772949,6.887281789282972e-138,25.228740692138672
germ_cluster,14,AT4G19200,38,3.1196155548095703,1.980375662144572e-137,25.185876846313477
germ_cluster,14,AT1G78040,39,1.9352308511734009,1.2118127853770646e-136,25.112958908081055
germ_cluster,14,AT3G05890,40,5.372349739074707,1.299005672740563e-134,24.92542839050293
germ_cluster,14,AT4G30650,41,3.685840606689453,2.2158552304653573e-133,24.810575485229492
germ_cluster,14,AT3G04120,42,2.074882984161377,1.3403491526023148e-132,24.737092971801758
germ_cluster,14,AT2G47485,43,5.482022762298584,2.2916008320487495e-132,24.714509963989258
germ_cluster,14,AT5G53560,44,2.1288199424743652,2.4729631946964397e-131,24.617319107055664
germ_cluster,14,AT5G50460,45,2.213168144226074,2.7772961933519785e-131,24.61172103881836
germ_cluster,14,AT4G19030,46,6.2517313957214355,1.5887041693475794e-130,24.53999900817871
germ_cluster,14,AT1G54030,47,3.3939571380615234,1.6138427210299363e-130,24.538503646850586
germ_cluster,14,AT1G66270,48,6.601337432861328,4.652472212291795e-130,24.494548797607422
germ_cluster,14,AT2G45790,49,3.3186166286468506,4.103529462952518e-128,24.310457229614258
germ_cluster,14,AT4G21850,50,4.024238586425781,7.374581933886409e-127,24.19072151184082
germ_cluster,15,AT3G15353,1,8.63349437713623,2.423551487330771e-237,33.184608459472656
germ_cluster,15,AT4G38740,2,6.184837818145752,2.1406392353947063e-222,32.11025619506836
